| table_name                  | column_name                  | data_type                   | is_nullable | column_default                                                |
| barkod_tanimlari            | stok_id                      | uuid                        | NO          | null                                                          |
| barkod_tanimlari            | barkod                       | text                        | NO          | null                                                          |
| barkod_tanimlari            | barkod_tipi                  | text                        | NO          | 'ana'::text                                                   |
| barkod_tanimlari            | carpan                       | integer                     | NO          | 1                                                             |
| barkod_tanimlari            | aciklama                     | text                        | YES         | null                                                          |
| barkod_tanimlari            | aktif                        | boolean                     | NO          | true                                                          |
| barkod_tanimlari            | olusturma_tarihi             | timestamp with time zone    | NO          | now()                                                         |
| barkod_tanimlari            | guncelleme_tarihi            | timestamp with time zone    | NO          | now()                                                         |
| baski_listesi               | id                           | uuid                        | NO          | gen_random_uuid()                                             |
| baski_listesi               | liste_adi                    | text                        | NO          | null                                                          |
| baski_listesi               | liste_tipi                   | text                        | NO          | null                                                          |
| baski_listesi               | stok_id                      | uuid                        | YES         | null                                                          |
| baski_listesi               | kategori_id                  | uuid                        | YES         | null                                                          |
| baski_listesi               | miktar                       | integer                     | NO          | 1                                                             |
| baski_listesi               | kagit_boyutu                 | text                        | YES         | null                                                          |
| baski_listesi               | yazdirma_durumu              | text                        | NO          | 'beklemede'::text                                             |
| baski_listesi               | olusturan_kullanici_id       | uuid                        | YES         | null                                                          |
| baski_listesi               | olusturma_tarihi             | timestamp with time zone    | NO          | now()                                                         |
| baski_listesi               | yazdirma_tarihi              | timestamp with time zone    | YES         | null                                                          |
| bekleyen_islemler           | id                           | uuid                        | NO          | uuid_generate_v4()                                            |
| bekleyen_islemler           | islem_tipi                   | text                        | NO          | null                                                          |
| bekleyen_islemler           | islem_verisi                 | jsonb                       | YES         | null                                                          |
| bekleyen_islemler           | onay_durumu                  | text                        | YES         | 'Beklemede'::text                                             |
| bekleyen_islemler           | olusturma_tarihi             | timestamp with time zone    | YES         | now()                                                         |
| bekleyen_islemler           | onay_tarihi                  | timestamp with time zone    | YES         | null                                                          |
| bekleyen_islemler           | red_tarihi                   | timestamp with time zone    | YES         | null                                                          |
| bekleyen_islemler           | red_nedeni                   | text                        | YES         | null                                                          |
| bekleyen_islemler           | onaylayan_kullanici          | text                        | YES         | null                                                          |
| bekleyen_islemler           | reddeden_kullanici           | text                        | YES         | null                                                          |
| bekleyen_islemler           | created_at                   | timestamp with time zone    | YES         | now()                                                         |
| bekleyen_islemler           | updated_at                   | timestamp with time zone    | YES         | now()                                                         |
| belge_degisiklik_loglari    | id                           | uuid                        | NO          | gen_random_uuid()                                             |
| belge_degisiklik_loglari    | belge_tipi                   | text                        | NO          | null                                                          |
| belge_degisiklik_loglari    | belge_id                     | uuid                        | YES         | null                                                          |
| belge_degisiklik_loglari    | islem_tipi                   | text                        | NO          | null                                                          |
| belge_degisiklik_loglari    | eski_deger                   | jsonb                       | YES         | null                                                          |
| belge_degisiklik_loglari    | yeni_deger                   | jsonb                       | YES         | null                                                          |
| belge_degisiklik_loglari    | hata_mesaji                  | text                        | YES         | null                                                          |
| belge_degisiklik_loglari    | aciklama                     | text                        | YES         | null                                                          |
| belge_degisiklik_loglari    | kullanici_id                 | uuid                        | YES         | null                                                          |
| belge_degisiklik_loglari    | olusturma_tarihi             | timestamp with time zone    | YES         | now()                                                         |
| bildirim_temizleme_loglari  | id                           | uuid                        | NO          | gen_random_uuid()                                             |
| bildirim_temizleme_loglari  | created_at                   | timestamp with time zone    | NO          | now()                                                         |
